"Localized Device Description","Country","Esn","Region Code Display Name","Ip","Device Description","Ts","Near Location"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:86ae:e5de:0:0:6163:955e","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-26 02:27:37","SAHARANPUR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:bb73:e17f:0:0:1365:1e15","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-25 18:08:47","CHAK ADAMPUR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","103.145.54.244","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-25 17:09:08","BAREILLY"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","106.205.174.8","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-25 07:42:00","AHROLA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","223.188.7.194","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-24 15:00:15","GHOSIPURA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","2401:4900:a5b3:abe1:0:0:7598:eecf","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-24 07:37:28","HARIDWAR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","2401:4900:86a8:a590:0:0:6052:5573","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-24 02:34:03","NAGLA IMARTI"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","223.188.21.227","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-23 17:54:45","BARHEPURA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:bcaf:da37:0:0:2b2b:d226","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-23 15:45:20","SANHA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","106.219.221.32","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-23 07:13:24","KISHANPUR BIRANA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:a67d:9c80:0:0:5919:b45f","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-23 02:41:23","AKBARPUR SIHALI"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","106.205.169.55","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-22 18:51:06","BULANDSHAHR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:84c5:9ebc:0:0:5753:60a3","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-22 14:55:31","BALRAU"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:bbed:b076:0:0:119f:a3f8","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-22 07:54:27","BADAUN"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:84cb:2d4a:0:0:56e4:cd03","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-21 15:50:50","BIJNOR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","106.219.196.0","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-03-21 15:30:20","CHAMRI"
